sector,category,tCo2e
Stationary Energy,Commercial and Institutional,13485292.082047658
Stationary Energy,Fugitive,486842.3118
Stationary Energy,Manufacturing and Construction,4001339.9537091274
Stationary Energy,Residential,16050928.71062697
Transportation,Aviation,1597.586478
Transportation,Marine Navigation,53463.162461657
Transportation,On-Road,11658979.490600001
Transportation,Railways,606152.07494
Waste,Biological treatment,8550.914684000001
Waste,Landfills,1960325.0
Waste,Wastewater treatment,130563.57205
