state,hp_pct,cut_jenks
Alabama,42.0,bucket6
Arizona,28.0,bucket5
Arkansas,23.0,bucket4
California,5.0,bucket2
Delaware,21.0,bucket4
District of Columbia,15.0,bucket3
Florida,32.0,bucket5
Georgia,29.0,bucket5
Illinois,2.0,
Indiana,7.0,bucket2
Iowa,5.0,bucket2
Kansas,7.0,bucket2
Kentucky,23.0,bucket4
Louisiana,23.0,bucket4
Maryland,21.0,bucket4
Massachusetts,2.0,
Mississippi,32.0,bucket5
Missouri,10.0,bucket3
Nebraska,7.0,bucket2
Nevada,8.0,bucket2
New Jersey,4.0,bucket1
New Mexico,6.0,bucket2
New York,3.0,bucket1
North Carolina,42.0,bucket6
Ohio,5.0,bucket2
Oklahoma,13.0,bucket3
Oregon,14.0,bucket3
Pennsylvania,8.0,bucket2
South Carolina,46.0,bucket6
South Dakota,5.0,bucket2
Tennessee,39.0,bucket6
Texas,21.0,bucket4
Virginia,30.0,bucket5
Washington,9.0,bucket2
West Virginia,20.0,bucket4
